date,open,high,low,close,wave
2015/3/2,3332.721,3336.76,3298.669,3336.285,0
2015/3/3,3317.695,3317.695,3260.429,3263.052,0.021950463
2015/3/4,3264.182,3286.588,3250.484,3279.533,-0.005050793
2015/3/5,3264.085,3266.638,3221.666,3248.476,0.009469946
2015/3/6,3248.036,3266.933,3234.533,3241.187,0.002243821
2015/3/9,3224.314,3307.702,3198.37,3302.408,-0.01888845
2015/3/10,3289.085,3309.915,3277.095,3286.068,0.004947905
2015/3/11,3289.594,3325.054,3278.471,3290.9,-0.00147045
2015/3/12,3314.813,3360.054,3300.488,3349.323,-0.017752894
2015/3/13,3359.488,3391.255,3352.15,3372.911,-0.007042617
2015/3/16,3391.158,3449.305,3377.087,3449.305,-0.022649278
2015/3/17,3469.603,3504.123,3459.694,3502.847,-0.015522547
2015/3/18,3510.501,3577.662,3503.853,3577.301,-0.021255282
2015/3/19,3576.019,3600.684,3546.844,3582.271,-0.001389316
2015/3/20,3587.084,3632.338,3569.38,3617.318,-0.009783459
2015/3/23,3640.104,3688.249,3635.485,3687.728,-0.019464697
2015/3/24,3692.569,3715.873,3600.698,3691.41,-0.000998447
2015/3/25,3680.953,3693.151,3634.559,3660.727,0.008312
2015/3/26,3641.942,3707.318,3615.011,3682.095,-0.005837092
2015/3/27,3686.134,3710.477,3656.831,3691.096,-0.002444532
2015/3/30,3710.612,3795.935,3710.612,3786.568,-0.025865488
2015/3/31,3822.987,3835.567,3737.043,3747.899,0.01021215
2015/4/1,3748.34,3817.082,3742.213,3810.294,-0.016647994
2015/4/2,3827.689,3835.451,3775.894,3825.784,-0.004065303
2015/4/3,3803.383,3864.405,3792.211,3863.929,-0.009970505
2015/4/7,3899.42,3961.666,3891.728,3961.378,-0.025220184
2015/4/8,3976.532,4000.22,3903.648,3994.811,-0.00843974
2015/4/9,4006.13,4016.396,3900.027,3957.534,0.009331355
2015/4/10,3947.492,4040.348,3929.319,4034.31,-0.01939996
2015/4/13,4072.723,4128.072,4057.293,4121.715,-0.021665415
2015/4/14,4125.782,4168.346,4091.257,4135.565,-0.003360252
2015/4/15,4135.648,4175.494,4069.007,4084.163,0.012429257
2015/4/16,4055.916,4195.305,4031.244,4194.823,-0.027094903
2015/4/17,4254.723,4317.223,4238.91,4287.296,-0.022044553
2015/4/20,4301.352,4356.001,4190.681,4217.077,0.016378389
2015/4/21,4212.185,4294.375,4188.569,4293.623,-0.018151435
2015/4/22,4304.597,4400.193,4297.951,4398.494,-0.024424827
2015/4/23,4414.485,4444.41,4358.844,4414.508,-0.003640792
2015/4/24,4355.951,4416.376,4318.119,4393.686,0.00471672
2015/4/27,4441.929,4529.735,4441.929,4527.396,-0.030432307
2015/4/28,4527.635,4572.391,4432.904,4476.215,0.011304732
2015/4/29,4446.119,4499.945,4398.639,4476.62,-9.04782E-05
2015/4/30,4483.013,4507.344,4441.054,4441.655,0.00781058
2015/5/4,4441.343,4487.57,4387.426,4480.464,-0.008737509
2015/5/5,4479.848,4488.865,4282.237,4298.706,0.040566781
2015/5/6,4311.641,4376.353,4187.368,4229.266,0.016153698
2015/5/7,4197.896,4213.764,4108.009,4112.214,0.02767667
2015/5/8,4152.984,4206.86,4099.042,4205.917,-0.022786509
2015/5/11,4231.271,4334.877,4187.82,4333.584,-0.030354142
2015/5/12,4342.37,4402.309,4317.975,4401.219,-0.015607174
2015/5/13,4402.378,4415.629,4342.481,4375.76,0.005784534
2015/5/14,4372.816,4397.745,4329.042,4378.311,-0.000582984
2015/5/15,4366.822,4366.822,4278.553,4308.691,0.015901109
2015/5/18,4277.895,4324.826,4260.509,4283.491,0.005848644
2015/5/19,4285.777,4418.403,4285.777,4417.552,-0.031297136
2015/5/20,4434.979,4520.538,4432.279,4446.288,-0.00650496
2015/5/21,4456.435,4530.478,4438.258,4529.422,-0.018697394
2015/5/22,4584.984,4658.273,4562.989,4657.596,-0.028298092
2015/5/25,4660.075,4814.672,4656.825,4813.798,-0.033537044
2015/5/26,4854.85,4911.685,4779.075,4910.897,-0.020170975
2015/5/27,4932.846,4958.156,4857.056,4941.714,-0.006275228
2015/5/28,4943.742,4986.503,4614.241,4620.266,0.065047876
2015/5/29,4603.465,4698.193,4431.563,4611.744,0.001844483
2015/6/1,4633.098,4829.502,4615.231,4828.738,-0.047052482
2015/6/2,4844.704,4911.574,4797.552,4910.527,-0.016937966
2015/6/3,4924.381,4942.065,4822.442,4909.978,0.000111801
2015/6/4,4912.945,4947.965,4647.407,4947.102,-0.00756093
2015/6/5,5016.088,5051.626,4898.068,5023.096,-0.015361317
2015/6/8,5045.694,5146.949,4997.481,5131.881,-0.021656962
2015/6/9,5145.978,5147.454,5042.963,5113.534,0.003575102
2015/6/10,5049.197,5164.162,5001.489,5106.036,0.001466305
2015/6/11,5101.44,5122.457,5050.765,5121.593,-0.003046786
2015/6/12,5143.343,5178.191,5103.401,5166.35,-0.008738883
2015/6/15,5174.418,5176.795,5048.742,5062.993,0.020005807
2015/6/16,5004.412,5029.684,4842.1,4887.432,0.034675339
2015/6/17,4890.551,4983.658,4767.216,4967.898,-0.016463861
2015/6/18,4942.52,4966.767,4780.873,4785.356,0.036744313
2015/6/19,4689.929,4744.081,4476.501,4478.364,0.064152385
